sistema_nombre,cluster,sistema_codigo,sistema_codigo_formal
ME-A-01 Tres Rios,CLUSTER C-1,MEA01,ME-A-01
ME-A-02 Guadalupe,CLUSTER C-1,MEA02,ME-A-02
ME-A-03 El Llano,CLUSTER C-3,MEA03,ME-A-03
ME-A-04 Los Sitios,CLUSTER C-1,MEA04,ME-A-04
ME-A-05 Salitral,CLUSTER C-6,MEA05,ME-A-05
ME-A-06 San Juan de Dios,CLUSTER C-3,MEA06,ME-A-06
ME-A-07 San Antonio de Escazu,CLUSTER C-3,MEA07,ME-A-07
ME-A-08 Los Cuadros,CLUSTER C-1,MEA08,ME-A-08
ME-A-09 Alajuelita,CLUSTER C-3,MEA09,ME-A-09
ME-A-10 Mata de Plátano,CLUSTER C-1,MEA10,ME-A-10
ME-A-11 Guatuso Patarra,CLUSTER C-6,MEA11,ME-A-11
ME-A-12 Quitirrisi (Ciudad Colon),CLUSTER C-5,MEA12,ME-A-12
ME-A-13 San Jeronimo de Moravia,CLUSTER C-1,MEA13,ME-A-13
ME-A-14 San Rafael de Coronado,CLUSTER C-4,MEA14,ME-A-14
ME-A-15 San Pablo,CLUSTER C-2,MEA15,ME-A-15
ME-A-16 Potrerillos-San Antonio,CLUSTER C-3,MEA16,ME-A-16
ME-A-17 La Valencia,CLUSTER C-2,MEA17,ME-A-17
ME-A-18 Sur Alajuelita,CLUSTER C-6,MEA18,ME-A-18
ME-A-19 Puente Mulas,CLUSTER C-3,MEA19,ME-A-19
ME-A-20 Padre Carazo,CLUSTER C-1,MEA20,ME-A-20
ME-A-21 Chiverrales,CLUSTER C-4,MEA21,ME-A-21
ME-A-22 Pizote,CLUSTER C-1,MEA22,ME-A-22
ME-A-23 Barrio Espana,CLUSTER C-3,MEA23,ME-A-23
ME-A-24 Matinilla,CLUSTER C-6,MEA24,ME-A-24
ME-A-25 Sur de Escazu,CLUSTER C-3,MEA25,ME-A-25
ME-A-26 Ticufres-Quebrada Honda,CLUSTER C-5,MEA26,ME-A-26
ME-A-27 El Guarco,CLUSTER C-6,MEA27,ME-A-27
ME-A-28 Vista de Mar,CLUSTER C-1,MEA28,ME-A-28
ME-A-29 Lajas,CLUSTER C-6,MEA29,ME-A-29
ME-A-30 Jerico,CLUSTER C-6,MEA30,ME-A-30
ME-A-31 Puriscal,CLUSTER C-5,MEA31,ME-A-31
ME-A-32-PAAM (RESERVA),PAAM / RESERVA,MEA32,ME-A-32
